Number,Area,Location,Slot,AMC,Crate_Number,Crate,Type,Type_Number,Global_ID,Name,Description
238,LTUS,MP01,3,0,67,B105-0131,BPM,4,238,BPM,BPMDL12/BPMDL13
239,LTUS,MP01,4,0,67,B105-0131,BPM,4,239,BPM,BPMDL14/BPMDL15
240,LTUS,MP01,5,0,67,B105-0131,BPM,4,240,BPM,BPMDL16/BPMDL17
241,LTUH,MP03,1,2,68,B911-0620,MPS Digital,1,241,MPS Digital,Digital Inputs
242,LTUH,MP03,2,1,68,B911-0620,MPS Analog,2,242,MPS Analog,Analog Inputs
243,LTUH,MP03,3,0,68,B911-0620,BPM,4,243,BPM,BPMDL3/BPMT32
244,LTUH,MP03,4,0,68,B911-0620,BPM,4,244,BPM,BPMDL4/BPMT42
245,LTUH,MP03,5,0,68,B911-0620,BPM,4,245,BPM,BPMEM1/BPMEM2
246,LTUH,MP03,6,0,68,B911-0620,BPM,4,246,BPM,BPMEM3/BPMEM4
247,LTUH,MP03,7,2,68,B911-0620,Wire Scanner,7,247,Wire Scanner,WSDL4/WS31/WS32
248,LTUS,MP02,2,1,69,B911-0627,MPS Analog,2,248,MPS Analog,Analog Inputs
249,LTUS,MP02,3,0,69,B911-0627,BPM,4,249,BPM,BPMVM3B/BPMVM4B
250,LTUS,MP02,4,0,69,B911-0627,BPM,4,250,BPM,BPMEM1B/BPMEM2B
251,LTUS,MP02,5,0,69,B911-0627,BPM,4,251,BPM,BPMEM3B/BPMEM4B
252,LTUS,MP02,6,2,69,B911-0627,Wire Scanner,7,252,Wire Scanner,WS31B
253,LTUH,MP04,2,1,71,B911-0537,MPS Analog,2,253,MPS Analog,Analog Inputs
254,LTUS,MP03,1,2,70,B911-0634,MPS Digital,1,254,MPS Digital,Digital Inputs
255,LTUS,MP03,2,1,70,B911-0634,MPS Analog,2,255,MPS Analog,Analog Inputs
256,LTUS,MP03,3,0,70,B911-0634,BPM,4,256,BPM,BPMDL18/BPMDL19
257,LTUS,MP03,4,0,70,B911-0634,BPM,4,257,BPM,BPMDL20/BPMDL21
258,LTUS,MP03,5,0,70,B911-0634,BPM,4,258,BPM,BPMDL22/BPMVB1B
259,LTUS,MP03,6,0,70,B911-0634,BPM,4,259,BPM,BPMVB2B/BPMVB3B
260,LTUH,MP05;MP06,1,2,72,B912-1419,MPS Digital,1,260,MPS Digital,Digital Inputs
261,LTUH,MP05;MP06,2,1,72,B912-1419,MPS Analog,2,261,MPS Analog,Analog Inputs
262,LTUH,MP05;MP06,3,0,72,B912-1419,BPM,4,262,BPM,BPME31/BPME32
263,LTUH,MP05;MP06,4,0,72,B912-1419,BPM,4,263,BPM,BPME33/BPME34
264,LTUH,MP02,7,0,66,B105-0124,Wire Scanner,7,264,Wire Scanner,WSDL31
265,LTUH,MP05;MP06,6,1,72,B912-1419,MPS Analog,2,265,MPS Analog,Analog Inputs
266,LTUS,MP04;MP05,1,2,73,B912-1426,MPS Digital,1,266,MPS Digital,Digital Inputs
267,LTUS,MP04;MP05,2,1,73,B912-1426,MPS Analog,2,267,MPS Analog,Analog Inputs
